phase,boot,point,sha,corpus,m0_ms,m0_rc,m1_ms,m1_rc,rss_kb
B0,1787343239,c08,dc37462,ffi,3715,0,-2,0,0
B0,1787343239,c08,dc37462,mono,11476,0,-2,0,0
B0,1787343239,c09,be2cb6b,ffi,3951,0,-2,0,0
B0,1787343239,c09,be2cb6b,mono,10275,0,-2,0,0
B0,1787343239,c10,0a00f77,ffi,3804,0,-2,0,0
B0,1787343239,c10,0a00f77,mono,10551,0,-2,0,0
B0,1787343239,c11,a5158d1,ffi,3811,0,-2,0,0
B0,1787343239,c11,a5158d1,mono,10467,0,-2,0,0
B0,1787343239,c12,991239f,ffi,3928,0,-2,0,0
B0,1787343239,c12,991239f,mono,10465,0,-2,0,0
B0,1787343239,c13,b70585f,ffi,3854,0,-2,0,0
B0,1787343239,c13,b70585f,mono,10291,0,-2,0,0
B0,1787343239,c14,ba1df8c,ffi,2462,0,-2,0,0
B0,1787343239,c14,ba1df8c,mono,6690,0,-2,0,0
B0,1787343239,c15,809b30e,ffi,2355,0,-2,0,0
B0,1787343239,c15,809b30e,mono,7362,0,-2,0,0
B0,1787343239,c16,393164e,ffi,2300,0,-2,0,0
B0,1787343239,c16,393164e,mono,6163,0,-2,0,0
B0,1787343239,c17,690a261,ffi,1790,0,-2,0,0
B0,1787343239,c17,690a261,mono,4314,0,-2,0,0
B0,1787343239,c18,9a08f81,ffi,1722,0,-2,0,0
B0,1787343239,c18,9a08f81,mono,4694,0,-2,0,0
B0,1787343239,c19,4e3ec9f,ffi,1734,0,-2,0,0
B0,1787343239,c19,4e3ec9f,mono,4372,0,-2,0,0
B0,1787343239,c20,fba0670,ffi,1768,0,-2,0,0
B0,1787343239,c20,fba0670,mono,4267,0,-2,0,0
B0,1787343239,c21,3525625,ffi,1697,0,-2,0,0
B0,1787343239,c21,3525625,mono,4385,0,-2,0,0
B0,1787343239,c22,16becd8,ffi,1645,0,-2,0,0
B0,1787343239,c22,16becd8,mono,4216,0,-2,0,0
B0,1787343239,c23,abf13ea,ffi,1766,0,-2,0,0
B0,1787343239,c23,abf13ea,mono,4194,0,-2,0,0
B0,1787343239,c24,1d1b05a,ffi,1662,0,-2,0,0
B0,1787343239,c24,1d1b05a,mono,4254,0,-2,0,0
B0,1787343239,c25,2c2b318,ffi,1762,0,-2,0,0
B0,1787343239,c25,2c2b318,mono,4211,0,-2,0,0
B0,1787343239,c26,bd0ecd1,ffi,1688,0,-2,0,0
B0,1787343239,c26,bd0ecd1,mono,4354,0,-2,0,0
B0,1787343239,c00b,4600b24,ffi,33767,0,-2,0,0
B0,1787343239,c00b,4600b24,mono,65041,0,-2,0,0
B1,1787343239,c00b,4600b24,ffi,-2,0,900006,124,0
B1,1787343239,c00b,4600b24,mono,-2,0,700238,134,11735288
B1,1787343239,c26,bd0ecd1,ffi,-2,0,146420,0,416308
B1,1787343239,c26,bd0ecd1,mono,-2,0,283097,0,1144692
B1,1787343239,c25,2c2b318,ffi,-2,0,144762,0,409168
B1,1787343239,c25,2c2b318,mono,-2,0,287952,0,1131708
B1,1787343239,c24,1d1b05a,ffi,-2,0,173215,0,4192476
B1,1787343239,c24,1d1b05a,mono,-2,0,377357,0,11386300
B1,1787343239,c23,abf13ea,ffi,-2,0,174420,0,4194780
B1,1787343239,c23,abf13ea,mono,-2,0,365238,0,11386528
B1,1787343239,c22,16becd8,ffi,-2,0,173858,0,4194956
B1,1787343239,c22,16becd8,mono,-2,0,364945,0,11386348
B1,1787343239,c21,3525625,ffi,-2,0,168658,0,4105916
B1,1787343239,c21,3525625,mono,-2,0,362471,0,11332604
B1,1787343239,c20,fba0670,ffi,-2,0,178477,0,4102696
B1,1787343239,c20,fba0670,mono,-2,0,379310,0,11320476
B1,1787343239,c19,4e3ec9f,ffi,-2,0,172332,0,4103220
B1,1787343239,c19,4e3ec9f,mono,-2,0,377606,0,11310360
B1,1787343239,c18,9a08f81,ffi,-2,0,170029,0,4099756
B1,1787343239,c18,9a08f81,mono,-2,0,366697,0,11310596
B1,1787343239,c17,690a261,ffi,-2,0,179358,0,4116976
B1,1787343239,c17,690a261,mono,-2,0,395689,0,11474180
B1,1787343239,c16,393164e,ffi,-2,0,176931,0,4129304
B1,1787343239,c16,393164e,mono,-2,0,395219,0,11466924
B1,1787343239,c15,809b30e,ffi,-2,0,175365,0,4129024
B1,1787343239,c15,809b30e,mono,-2,0,397646,0,11467084
B1,1787343239,c14,ba1df8c,ffi,-2,0,177659,0,4132756
B1,1787343239,c14,ba1df8c,mono,-2,0,389886,0,11456248
B1,1787343239,c13,b70585f,ffi,-2,0,179948,0,4198976
B1,1787343239,c13,b70585f,mono,-2,0,405703,0,11636040
B1,1787343239,c12,991239f,ffi,-2,0,177838,0,4368872
B1,1787343239,c12,991239f,mono,-2,0,387476,134,11734800
B1,1787343239,c09,be2cb6b,ffi,-2,0,764505,0,5120072
B1,1787343239,c09,be2cb6b,mono,-2,0,900006,124,0
B1,1787343239,c07,0e47a7e,ffi,-2,0,323408,134,11735456
B1,1787343239,c07,0e47a7e,mono,-2,0,249343,134,11735036
B1,1787343239,c06,cb9ce43,ffi,-2,0,900006,124,0
B1,1787343239,c06,cb9ce43,mono,-2,0,596741,134,11735348
B1,1787343239,c05,a0ed498,ffi,-2,0,900006,124,0
B1,1787343239,c05,a0ed498,mono,-2,0,677311,134,11734768
B1,1787343239,c00,4600b24,ffi,-2,0,900006,124,0
B1,1787343239,c00,4600b24,mono,-2,0,680384,134,11735704
B1,1787343239,c11,a5158d1,ffi,-2,0,166157,0,4369048
B1,1787343239,c11,a5158d1,mono,-2,0,369673,134,11735004
B1,1787343239,c10,0a00f77,ffi,-2,0,226428,0,4722832
B1,1787343239,c10,0a00f77,mono,-2,0,450589,134,11735548
