n,seconds
1,0.000
2,0.005
3,0.272
4,0.388
5,0.469
6,0.483
7,0.548
8,0.563
9,0.633
10,0.651
11,0.712
12,0.731
13,0.737
14,0.743
15,0.788
16,0.802
17,0.848
18,0.863
19,0.882
20,0.982
21,1.083
22,1.097
23,1.151
24,1.167
25,1.173
26,1.241
27,1.314
28,1.330
29,1.385
30,1.401
31,1.452
32,1.510
33,1.535
34,1.547
35,1.561
36,1.644
37,1.666
38,1.746
39,1.779
40,1.785
41,1.792
42,1.799
43,1.805
44,1.812
45,1.819
46,1.826
47,1.834
48,1.841
49,1.849
50,1.857
51,1.865
52,1.873
53,1.882
54,1.890
55,1.935
56,2.002
57,2.025
58,2.032
59,2.083
60,2.106
61,2.157
62,2.191
63,2.273
64,2.303
65,2.313
66,2.322
67,2.381
68,2.403
69,2.452
70,2.472
71,2.519
72,2.540
73,2.591
74,2.613
75,2.660
76,2.681
77,2.725
78,2.753
79,2.824
80,2.855
81,2.861
82,2.919
83,2.940
84,3.005
85,3.025
86,3.091
87,3.111
88,3.161
89,3.181
90,3.229
91,3.251
92,3.312
93,3.348
94,3.413
95,3.446
96,3.496
97,3.520
98,3.574
99,3.595
100,3.647
101,3.671
102,3.718
103,3.741
104,3.786
105,3.800
106,3.805
107,3.819
108,3.828
109,3.901
110,3.922
111,3.986
112,3.991
113,3.998
114,4.004
115,4.011
116,4.017
117,4.023
118,4.029
119,4.035
120,4.042
121,4.048
122,4.054
123,4.061
124,4.067
125,4.074
126,4.118
127,4.167
128,4.218
129,4.265
130,4.285
131,4.291
132,4.357
133,4.389
134,4.450
135,4.480
136,4.527
137,4.551
138,4.600
139,4.623
140,4.631
141,4.662
142,4.684
143,4.718
144,4.739
145,4.795
146,4.825
147,4.831
148,4.836
149,4.848
150,4.859
151,4.869
152,4.878
153,4.943
154,4.968
155,4.978
156,4.986
157,5.000
158,5.049
159,5.071
160,5.076
161,5.083
162,5.140
163,5.167
164,5.175
165,5.181
166,5.188
167,5.195
168,5.249
169,5.274
170,5.324
171,5.347
172,5.353
173,5.359
174,5.432
175,5.468
176,5.476
177,5.485
178,5.497
179,5.505
180,5.559
181,5.578
182,5.625
183,5.646
184,5.653
185,5.672
186,5.672
187,5.717
188,5.737
189,5.787
190,5.807
191,5.813
192,5.819
193,5.826
194,5.874
195,5.899
196,5.970
197,5.995
198,6.004
199,6.013
200,6.024
201,6.084
202,6.104
203,6.155
204,6.179
205,6.185
206,6.191
207,6.199
208,6.252
209,6.274
210,6.329
211,6.334
212,6.342
213,6.349
214,6.355
215,6.361
216,6.368
217,6.428
218,6.462
219,6.533
220,6.575
221,6.582
222,6.589
223,6.646
224,6.674
225,6.681
226,6.687
227,6.740
228,6.746
229,6.752
230,6.758
231,6.764
232,6.773
233,6.790
234,6.803
235,6.808
236,6.838
237,6.856
238,6.903
239,6.926
240,6.994
241,7.000
242,7.010
243,7.019
244,7.027
245,7.035
246,7.047
247,7.069
248,7.084
249,7.090
250,7.116
251,7.131
252,7.175
253,7.199
254,7.276
255,7.363
256,7.427
257,7.449
258,7.455
259,7.474
260,7.484
261,7.493
262,7.569
263,7.589
264,7.670
265,7.703
266,7.711
267,7.779
268,7.832
269,7.853
270,7.902
271,7.923
272,7.928
273,7.934
274,8.000
275,8.034
276,8.100
277,8.129
278,8.179
279,8.201
280,8.252
281,8.276
282,8.284
283,8.348
284,8.369
285,8.376
286,8.382
287,8.389
288,8.442
289,8.458
290,8.463
291,8.474
292,8.483
293,8.493
294,8.503
295,8.580
296,8.679
297,8.713
298,8.721
299,8.730
300,8.739
301,8.793
302,8.869
303,8.943
304,8.969
305,9.023
306,9.060
307,9.135
308,9.168
309,9.231
310,9.254
311,9.260
312,9.319
313,9.342
314,9.400
315,9.421
316,9.483
317,9.504
318,9.511
319,9.517
320,9.528
321,9.599
322,9.633
323,9.644
324,9.724
325,9.754
326,9.765
327,9.828
328,9.838
329,9.853
330,9.875
331,9.881
332,9.891
333,9.957
334,9.978
335,9.984
336,10.039
337,10.062
338,10.069
339,10.122
340,10.145
341,10.154
342,10.165
343,10.183
344,10.215
345,10.231
346,10.258
347,10.266
348,10.275
349,10.291
350,10.316
351,10.323
352,10.379
353,10.407
354,10.456
355,10.480
356,10.487
357,10.547
358,10.575
359,10.626
360,10.653
361,10.726
362,10.779
363,10.779
364,10.846
365,10.875
366,10.883
367,10.936
368,10.962
369,11.021
370,11.042
371,11.048
372,11.106
373,11.127
374,11.133
375,11.143
376,11.210
377,11.230
378,11.236
379,11.307
380,11.337
381,11.415
382,11.439
383,11.446
384,11.452
385,11.511
386,11.582
387,11.603
388,11.666
389,11.690
390,11.736
391,11.757
392,11.763
393,11.770
394,11.776
395,11.782
396,11.787
397,11.801
398,11.906
399,11.934
400,11.942
401,12.009
402,12.029
403,12.035
404,12.095
405,12.115
406,12.121
407,12.180
408,12.202
409,12.209
410,12.270
411,12.292
412,12.297
413,12.303
414,12.374
415,12.411
416,12.421
417,12.498
418,12.527
419,12.534
420,12.594
421,12.614
422,12.621
423,12.668
424,12.690
425,12.743
426,12.766
427,12.818
428,12.840
429,12.847
430,12.853
431,12.924
432,12.956
433,12.966
434,13.043
435,13.072
436,13.079
437,13.090
438,13.159
439,13.182
440,13.189
441,13.243
442,13.266
443,13.322
444,13.343
445,13.350
446,13.356
447,13.366
448,13.445
449,13.478
450,13.488
451,13.570
452,13.597
453,13.608
454,13.671
455,13.691
456,13.698
457,13.758
458,13.778
459,13.784
460,13.848
461,13.871
462,13.877
463,13.884
464,13.947
465,13.971
466,13.977
467,13.983
468,14.062
469,14.091
470,14.101
471,14.182
472,14.208
473,14.215
474,14.277
475,14.298
476,14.304
477,14.365
478,14.389
479,14.396
480,14.459
481,14.483
482,14.489
483,14.536
484,14.559
485,14.565
486,14.583
487,14.615
488,14.691
489,14.721
490,14.778
491,14.802
492,14.808
493,14.815
494,14.866
495,14.887
496,14.894
497,14.951
498,14.974
499,14.981
500,14.987
501,15.040
502,15.065
503,15.087
504,15.097
505,15.114
506,15.145
507,15.155
508,15.227
509,15.255
510,15.309
511,15.333
512,15.339
513,15.389
514,15.412
515,15.463
516,15.485
517,15.546
518,15.568
519,15.625
520,15.659
521,15.669
522,15.687
523,15.783
524,15.809
525,15.815
526,15.873
527,15.892
528,15.899
529,15.946
530,15.967
531,15.973
532,16.021
533,16.042
534,16.048
535,16.107
536,16.129
537,16.135
538,16.212
539,16.244
540,16.252
541,16.260
542,16.328
543,16.351
544,16.357
545,16.418
546,16.440
547,16.447
548,16.506
549,16.573
550,16.594
551,16.599
552,16.652
553,16.672
554,16.679
555,16.751
556,16.779
557,16.788
558,16.855
559,16.879
560,16.926
561,16.948
562,17.004
563,17.025
564,17.086
565,17.109
566,17.115
567,17.174
568,17.248
569,17.279
570,17.289
571,17.364
572,17.395
573,17.405
574,17.456
575,17.479
576,17.486
577,17.497
578,17.525
579,17.547
580,17.553
581,17.564
582,17.584
583,17.591
584,17.642
585,17.665
586,17.670
587,17.677
588,17.725
589,17.747
590,17.824
591,17.856
592,17.866
593,17.949
594,17.973
595,17.980
596,18.043
597,18.065
598,18.076
599,18.098
600,18.104
601,18.166
602,18.189
603,18.197
604,18.258
605,18.282
606,18.288
607,18.294
608,18.352
609,18.384
610,18.394
611,18.455
612,18.478
613,18.484
