n,seconds
1,0.000
2,0.018
3,0.025
4,0.030
5,0.047
6,0.050
7,0.063
8,0.070
9,0.072
10,0.171
11,0.173
12,0.241
13,0.270
14,0.271
15,0.273
16,0.293
17,0.295
18,0.296
19,0.298
20,0.300
21,0.303
22,0.309
23,0.311
24,0.325
25,0.327
26,0.337
27,0.342
28,0.344
29,0.428
30,0.430
31,0.499
32,0.528
33,0.530
34,0.532
35,0.551
36,0.553
37,0.554
38,0.556
39,0.558
40,0.561
41,0.567
42,0.569
43,0.584
44,0.585
45,0.596
46,0.601
47,0.602
48,0.693
49,0.696
50,0.768
51,0.795
52,0.797
53,0.798
54,0.817
55,0.818
56,0.820
57,0.822
58,0.823
59,0.827
60,0.835
61,0.837
62,0.852
63,0.854
64,0.864
65,0.869
66,0.870
67,0.962
68,0.964
69,1.037
70,1.064
71,1.066
72,1.067
73,1.085
74,1.087
75,1.089
76,1.090
77,1.092
78,1.095
79,1.102
80,1.104
81,1.119
82,1.120
83,1.130
84,1.135
85,1.137
86,1.229
87,1.231
88,1.312
89,1.347
90,1.349
91,1.351
92,1.375
93,1.377
94,1.379
95,1.381
96,1.383
97,1.387
98,1.395
99,1.397
100,1.419
101,1.421
102,1.435
103,1.442
104,1.444
105,1.574
106,1.577
107,1.684
108,1.719
109,1.721
110,1.723
111,1.748
112,1.750
113,1.753
114,1.755
115,1.758
116,1.764
117,1.773
118,1.775
119,1.791
120,1.794
121,1.805
122,1.810
123,1.812
124,1.914
125,1.916
126,2.000
127,2.031
128,2.032
129,2.034
130,2.054
131,2.056
132,2.057
133,2.059
134,2.061
135,2.064
136,2.070
137,2.072
138,2.090
139,2.092
140,2.103
141,2.108
142,2.110
143,2.209
144,2.211
145,2.295
146,2.322
147,2.323
148,2.325
149,2.343
150,2.345
151,2.347
152,2.349
153,2.351
154,2.356
155,2.363
156,2.365
157,2.378
158,2.380
159,2.391
160,2.396
161,2.398
162,2.496
163,2.498
164,2.582
165,2.613
166,2.615
167,2.616
168,2.636
169,2.638
170,2.640
171,2.642
172,2.643
173,2.646
174,2.652
175,2.654
176,2.670
177,2.672
178,2.682
179,2.687
180,2.689
181,2.797
182,2.799
183,2.888
184,2.915
185,2.917
186,2.919
187,2.939
188,2.941
189,2.943
190,2.945
191,2.946
192,2.950
193,2.956
194,2.957
195,2.975
196,2.976
197,2.988
198,2.994
199,2.996
200,3.115
201,3.117
202,3.229
203,3.265
204,3.268
205,3.270
206,3.295
207,3.297
208,3.299
209,3.302
210,3.304
211,3.308
212,3.317
213,3.319
214,3.343
215,3.345
216,3.360
217,3.368
218,3.370
219,3.513
220,3.515
221,3.625
222,3.657
223,3.659
224,3.662
225,3.695
226,3.695
227,3.695
228,3.697
229,3.699
230,3.702
231,3.709
232,3.711
233,3.730
234,3.732
235,3.744
236,3.750
237,3.751
238,3.877
239,3.879
240,3.986
241,4.015
242,4.017
243,4.020
244,4.044
245,4.046
246,4.048
247,4.050
248,4.052
249,4.055
250,4.061
251,4.063
252,4.084
253,4.086
254,4.098
255,4.103
256,4.105
257,4.109
258,4.115
259,4.117
260,4.262
261,4.267
262,4.271
263,4.273
264,4.385
265,4.513
266,4.516
267,4.518
268,4.520
269,4.613
270,4.649
271,4.651
272,4.653
273,4.679
274,4.681
275,4.682
276,4.684
277,4.686
278,4.688
279,4.718
280,4.720
281,4.722
282,4.731
283,4.736
284,4.738
285,4.755
286,4.757
287,4.767
288,4.772
289,4.774
290,4.879
291,4.881
292,5.002
293,5.047
294,5.051
295,5.054
296,5.088
297,5.090
298,5.093
299,5.095
300,5.098
301,5.100
302,5.141
303,5.143
304,5.145
305,5.154
306,5.161
307,5.163
308,5.183
309,5.186
310,5.201
311,5.208
312,5.210
313,5.355
314,5.358
315,5.477
316,5.517
317,5.519
318,5.521
319,5.549
320,5.551
321,5.553
322,5.554
323,5.556
324,5.558
325,5.591
326,5.593
327,5.595
328,5.602
329,5.608
330,5.610
331,5.627
332,5.629
333,5.644
334,5.650
335,5.652
336,5.777
337,5.779
338,5.892
339,5.929
340,5.931
341,5.933
342,5.961
343,5.962
344,5.964
345,5.966
346,5.968
347,5.970
348,6.001
349,6.003
350,6.005
351,6.012
352,6.018
353,6.019
354,6.105
355,6.108
356,6.181
357,6.195
358,6.201
359,6.203
360,6.333
361,6.337
362,6.340
363,6.442
364,6.568
365,6.572
366,6.574
367,6.677
368,6.808
369,6.813
370,6.816
371,6.943
372,6.960
373,6.967
374,6.969
375,6.994
376,6.996
377,7.038
378,7.040
379,7.042
380,7.077
381,7.079
382,7.081
383,7.084
384,7.086
385,7.088
386,7.091
387,7.131
388,7.134
389,7.136
390,7.146
391,7.154
392,7.156
393,7.264
394,7.267
395,7.338
396,7.350
397,7.355
398,7.357
399,7.376
400,7.378
401,7.389
402,7.394
403,7.396
404,7.416
405,7.418
406,7.429
407,7.434
408,7.435
409,7.456
410,7.456
411,7.466
412,7.471
413,7.473
414,7.493
415,7.494
416,7.514
417,7.516
418,7.518
419,7.521
420,7.523
421,7.525
422,7.527
423,7.530
424,7.532
425,7.535
426,7.537
427,7.540
428,7.543
429,7.545
430,7.556
431,7.591
432,7.594
433,7.598
434,7.601
435,7.634
436,7.638
437,7.643
438,7.648
439,7.671
440,7.674
441,7.677
442,7.680
443,7.707
444,7.711
445,7.715
446,7.719
447,7.752
448,7.757
449,7.762
450,7.766
451,7.796
452,7.799
453,7.803
454,7.806
455,7.836
456,7.840
457,7.844
458,7.847
459,7.876
460,7.880
461,7.884
462,7.887
463,7.905
464,7.920
465,7.922
466,7.929
467,7.944
468,7.970
469,7.974
470,7.977
471,7.980
472,7.990
473,7.993
474,7.996
475,8.000
476,8.025
477,8.030
478,8.034
479,8.037
480,8.063
481,8.066
482,8.070
483,8.073
484,8.095
485,8.098
486,8.100
487,8.102
488,8.105
489,8.108
490,8.110
491,8.113
492,8.115
493,8.118
494,8.121
495,8.124
496,8.127
497,8.129
498,8.142
499,8.181
500,8.184
501,8.188
502,8.191
503,8.228
504,8.232
505,8.237
506,8.242
507,8.266
508,8.270
509,8.273
510,8.276
511,8.304
512,8.308
513,8.312
514,8.315
515,8.347
516,8.351
517,8.356
518,8.360
519,8.384
520,8.387
521,8.390
522,8.394
523,8.433
524,8.437
525,8.442
526,8.446
527,8.483
528,8.486
529,8.491
530,8.495
531,8.517
532,8.534
533,8.537
534,8.546
535,8.563
536,8.596
537,8.600
538,8.603
539,8.606
540,8.617
541,8.621
542,8.624
543,8.627
544,8.657
545,8.661
546,8.696
547,8.701
548,8.741
549,8.746
550,8.751
551,8.755
552,8.809
553,8.858
554,8.860
555,8.863
556,8.866
557,8.870
558,8.873
559,8.876
560,8.880
561,8.883
562,8.887
563,8.891
564,8.895
565,8.899
566,8.904
567,8.945
568,8.947
569,8.950
570,9.009
571,9.009
572,9.009
573,9.037
574,9.040
575,9.043
576,9.069
577,9.071
578,9.074
579,9.103
580,9.107
581,9.110
582,9.138
583,9.141
584,9.144
585,9.174
586,9.212
587,9.214
588,9.216
589,9.218
590,9.221
591,9.223
592,9.225
593,9.227
594,9.229
595,9.231
596,9.233
597,9.235
598,9.237
599,9.240
600,9.242
601,9.245
602,9.247
603,9.250
604,9.252
605,9.255
606,9.257
607,9.276
608,9.313
609,9.349
610,9.352
611,9.355
612,9.358
613,9.388
614,9.391
615,9.394
616,9.397
617,9.425
618,9.428
619,9.431
620,9.434
621,9.460
622,9.463
623,9.466
624,9.468
625,9.495
626,9.497
627,9.500
628,9.502
629,9.528
630,9.531
631,9.534
632,9.536
633,9.563
634,9.566
635,9.569
636,9.572
637,9.600
638,9.603
639,9.606
640,9.609
641,9.637
642,9.639
643,9.642
644,9.645
645,9.672
646,9.675
647,9.678
648,9.680
649,9.707
650,9.710
651,9.714
652,9.717
653,9.745
654,9.749
655,9.753
656,9.756
657,9.786
658,9.789
659,9.792
660,9.795
661,9.825
662,9.828
663,9.832
664,9.835
665,9.864
666,9.867
667,9.870
668,9.873
669,9.901
670,9.904
671,9.907
672,9.910
673,9.937
674,9.940
675,9.943
676,9.946
677,9.973
678,9.976
679,9.979
680,9.981
681,10.008
682,10.011
683,10.014
684,10.016
685,10.042
686,10.045
687,10.047
688,10.050
689,10.076
690,10.078
691,10.081
692,10.103
693,10.106
694,10.108
695,10.132
696,10.136
697,10.139
698,10.174
699,10.178
700,10.180
701,10.213
702,10.217
703,10.220
704,10.253
705,10.257
706,10.259
707,10.292
708,10.296
709,10.299
710,10.341
711,10.393
712,10.397
713,10.400
714,10.403
715,10.407
716,10.410
717,10.414
718,10.417
719,10.421
720,10.425
721,10.429
722,10.433
723,10.437
724,10.441
725,10.497
726,10.501
727,10.504
728,10.597
729,10.605
730,10.610
731,10.653
732,10.656
733,10.659
734,10.705
735,10.708
736,10.711
737,10.763
738,10.768
739,10.772
740,10.820
741,10.824
742,10.828
743,10.861
744,10.902
745,10.905
746,10.907
747,10.909
748,10.911
749,10.913
750,10.915
751,10.918
752,10.920
753,10.923
754,10.925
755,10.928
756,10.931
757,10.934
758,10.937
759,10.940
760,10.942
761,10.945
762,10.948
763,10.950
764,10.953
765,10.972
766,11.009
767,11.050
768,11.053
769,11.057
770,11.060
771,11.094
772,11.098
773,11.102
774,11.148
775,11.215
776,11.221
777,11.226
778,11.231
779,11.286
780,11.291
781,11.297
782,11.301
783,11.347
784,11.370
785,11.370
786,11.374
787,11.422
788,11.426
789,11.431
790,11.435
791,11.477
792,11.480
793,11.484
794,11.488
795,11.538
796,11.542
797,11.546
798,11.551
799,11.595
800,11.599
801,11.603
802,11.607
803,11.652
804,11.655
805,11.660
806,11.663
807,11.710
808,11.714
809,11.719
810,11.723
811,11.767
812,11.773
813,11.778
814,11.782
815,11.827
816,11.830
817,11.834
818,11.837
819,11.883
820,11.888
821,11.893
822,11.897
823,11.953
824,11.957
825,11.962
826,11.966
827,12.027
828,12.030
829,12.035
830,12.039
831,12.096
832,12.100
833,12.104
834,12.109
835,12.170
836,12.175
837,12.180
838,12.185
839,12.241
840,12.245
841,12.249
842,12.253
843,12.300
844,12.305
845,12.310
846,12.315
847,12.365
848,12.368
849,12.371
850,12.418
851,12.421
852,12.425
853,12.465
854,12.469
855,12.473
856,12.513
857,12.516
858,12.519
859,12.566
860,12.569
861,12.573
862,12.616
863,12.620
864,12.624
865,12.666
866,12.670
867,12.673
868,12.705
869,12.746
870,12.748
871,12.751
872,12.754
873,12.757
874,12.759
875,12.762
876,12.765
877,12.769
878,12.773
879,12.776
880,12.780
881,12.783
882,12.786
883,12.830
884,12.833
885,12.836
886,12.865
887,12.902
888,12.904
889,12.947
890,12.951
891,12.954
892,12.997
893,13.001
894,13.004
895,13.053
896,13.058
897,13.063
898,13.113
899,13.117
900,13.121
901,13.155
902,13.199
903,13.201
904,13.204
905,13.206
906,13.208
907,13.210
908,13.212
909,13.215
910,13.217
911,13.220
912,13.222
913,13.225
914,13.228
915,13.230
916,13.233
917,13.236
918,13.239
919,13.241
920,13.244
921,13.247
922,13.250
923,13.272
924,13.313
925,13.358
926,13.361
927,13.365
928,13.368
929,13.407
930,13.410
931,13.414
932,13.417
933,13.455
934,13.458
935,13.462
936,13.466
937,13.523
938,13.527
939,13.531
940,13.535
941,13.587
942,13.592
943,13.596
944,13.600
945,13.661
946,13.665
947,13.670
948,13.675
949,13.723
950,13.727
951,13.732
952,13.736
953,13.803
954,13.808
955,13.813
956,13.817
957,13.878
958,13.883
959,13.887
