n,seconds
1,0.000
2,0.005
3,0.110
4,0.201
5,0.279
6,0.292
7,0.359
8,0.374
9,0.441
10,0.469
11,0.569
12,0.593
13,0.602
14,0.612
15,0.676
16,0.690
17,0.741
18,0.755
19,0.761
20,0.862
21,0.953
22,0.969
23,1.023
24,1.035
25,1.041
26,1.114
27,1.189
28,1.200
29,1.277
30,1.297
31,1.373
32,1.451
33,1.465
34,1.471
35,1.477
36,1.525
37,1.540
38,1.606
39,1.636
40,1.642
41,1.648
42,1.654
43,1.661
44,1.667
45,1.674
46,1.680
47,1.687
48,1.694
49,1.702
50,1.709
51,1.717
52,1.724
53,1.732
54,1.739
55,1.791
56,1.862
57,1.894
58,1.904
59,1.981
60,2.012
61,2.082
62,2.104
63,2.177
64,2.199
65,2.205
66,2.211
67,2.271
68,2.290
69,2.344
70,2.363
71,2.420
72,2.439
73,2.493
74,2.514
75,2.578
76,2.604
77,2.685
78,2.711
79,2.781
80,2.801
81,2.805
82,2.861
83,2.882
84,2.952
85,2.970
86,3.041
87,3.061
88,3.120
89,3.139
90,3.195
91,3.214
92,3.292
93,3.324
94,3.398
95,3.428
96,3.485
97,3.506
98,3.566
99,3.586
100,3.645
101,3.662
102,3.714
103,3.734
104,3.785
105,3.799
106,3.804
107,3.815
108,3.820
109,3.890
110,3.917
111,4.000
112,4.006
113,4.015
114,4.028
115,4.038
116,4.049
117,4.055
118,4.062
119,4.068
120,4.074
121,4.080
122,4.086
123,4.092
124,4.099
125,4.106
126,4.158
127,4.213
128,4.270
129,4.321
130,4.343
131,4.349
132,4.408
133,4.431
134,4.486
135,4.517
136,4.596
137,4.626
138,4.695
139,4.716
140,4.723
141,4.759
142,4.777
143,4.821
144,4.841
145,4.898
146,4.924
147,4.929
148,4.935
149,4.942
150,4.948
151,4.954
152,4.960
153,5.015
154,5.037
155,5.043
156,5.048
157,5.055
158,5.113
159,5.147
160,5.157
161,5.167
162,5.251
163,5.284
164,5.290
165,5.296
166,5.303
167,5.308
168,5.368
169,5.390
170,5.444
171,5.463
172,5.469
173,5.474
174,5.531
175,5.555
176,5.561
177,5.567
178,5.574
179,5.579
180,5.643
181,5.664
182,5.723
183,5.753
184,5.763
185,5.774
186,5.787
187,5.866
188,5.895
189,5.952
190,5.972
191,5.978
192,5.984
193,5.990
194,6.050
195,6.069
196,6.123
197,6.144
198,6.150
199,6.156
200,6.163
201,6.226
202,6.248
203,6.305
204,6.324
205,6.329
206,6.340
207,6.355
208,6.440
209,6.468
210,6.549
211,6.554
212,6.561
213,6.568
214,6.574
215,6.580
216,6.587
217,6.652
218,6.674
219,6.731
220,6.754
221,6.761
222,6.767
223,6.825
224,6.851
225,6.856
226,6.862
227,6.921
228,6.926
229,6.931
230,6.936
231,6.942
232,6.956
233,6.982
234,7.003
235,7.009
236,7.055
237,7.079
238,7.143
239,7.164
240,7.220
241,7.226
242,7.232
243,7.237
244,7.243
245,7.248
246,7.256
247,7.271
248,7.282
249,7.287
250,7.319
251,7.335
252,7.389
253,7.410
254,7.539
255,7.739
256,7.817
257,7.831
258,7.836
259,7.847
260,7.852
261,7.857
262,7.919
263,7.932
264,8.083
265,8.113
266,8.122
267,8.184
268,8.272
269,8.297
270,8.381
271,8.405
272,8.414
273,8.424
274,8.485
275,8.507
276,8.566
277,8.587
278,8.643
279,8.665
280,8.726
281,8.747
282,8.753
283,8.828
284,8.849
285,8.855
286,8.860
287,8.866
288,8.950
289,8.980
290,8.986
291,9.003
292,9.011
293,9.019
294,9.028
295,9.093
296,9.220
297,9.251
298,9.259
299,9.266
300,9.274
301,9.334
302,9.417
303,9.495
304,9.519
305,9.589
306,9.622
307,9.702
308,9.735
309,9.795
310,9.816
311,9.822
312,9.887
313,9.907
314,9.970
315,9.988
316,10.053
317,10.074
318,10.081
319,10.087
320,10.097
321,10.173
322,10.196
323,10.208
324,10.297
325,10.326
326,10.336
327,10.402
328,10.425
329,10.436
330,10.457
331,10.463
332,10.473
333,10.545
334,10.563
335,10.569
336,10.628
337,10.649
338,10.655
339,10.708
340,10.728
341,10.734
342,10.740
343,10.750
344,10.769
345,10.789
346,10.818
347,10.828
348,10.839
349,10.860
350,10.891
351,10.900
352,10.977
353,10.999
354,11.054
355,11.075
356,11.081
357,11.141
358,11.165
359,11.228
360,11.252
361,11.322
362,11.348
363,11.354
364,11.421
365,11.451
366,11.462
367,11.545
368,11.581
369,11.655
370,11.677
371,11.684
372,11.750
373,11.772
374,11.778
375,11.788
376,11.863
377,11.884
378,11.890
379,11.950
380,11.969
381,12.035
382,12.053
383,12.058
384,12.065
385,12.160
386,12.260
387,12.287
388,12.356
389,12.379
390,12.436
391,12.457
392,12.462
393,12.468
394,12.474
395,12.480
396,12.486
397,12.496
398,12.582
399,12.601
400,12.607
401,12.674
402,12.694
403,12.699
404,12.786
405,12.815
406,12.825
407,12.913
408,12.939
409,12.945
410,13.014
411,13.035
412,13.041
413,13.047
414,13.118
415,13.139
416,13.145
417,13.212
418,13.232
419,13.238
420,13.305
421,13.325
422,13.331
423,13.385
424,13.420
425,13.507
426,13.535
427,13.608
428,13.629
429,13.635
430,13.640
431,13.708
432,13.730
433,13.736
434,13.801
435,13.820
436,13.826
437,13.838
438,13.911
439,13.930
440,13.936
441,13.997
442,14.013
443,14.103
444,14.130
445,14.139
446,14.147
447,14.161
448,14.258
449,14.276
450,14.282
451,14.348
452,14.366
453,14.372
454,14.438
455,14.458
456,14.464
457,14.530
458,14.549
459,14.554
460,14.625
461,14.647
462,14.652
463,14.658
464,14.759
465,14.789
466,14.798
467,14.806
468,14.887
469,14.906
470,14.912
471,14.978
472,15.000
473,15.006
474,15.071
475,15.088
476,15.094
477,15.162
478,15.181
479,15.187
480,15.254
481,15.276
482,15.282
483,15.347
484,15.380
485,15.390
486,15.408
487,15.436
488,15.517
489,15.537
490,15.597
491,15.616
492,15.622
493,15.628
494,15.687
495,15.707
496,15.713
497,15.774
498,15.794
499,15.800
500,15.806
501,15.865
502,15.888
503,15.908
504,15.914
505,15.923
506,15.957
507,15.966
508,16.050
509,16.077
510,16.147
511,16.167
512,16.173
513,16.229
514,16.248
515,16.304
516,16.324
517,16.389
518,16.411
519,16.477
520,16.498
521,16.504
522,16.514
523,16.617
524,16.649
525,16.660
526,16.747
527,16.773
528,16.779
529,16.836
530,16.856
531,16.862
532,16.915
533,16.936
534,16.941
535,17.006
536,17.029
537,17.035
538,17.102
539,17.123
540,17.129
541,17.135
542,17.201
543,17.234
544,17.244
545,17.339
546,17.368
547,17.383
548,17.449
549,17.527
550,17.546
551,17.553
552,17.615
553,17.636
554,17.642
555,17.700
556,17.722
557,17.728
558,17.787
559,17.810
560,17.875
561,17.907
562,17.994
563,18.023
564,18.099
565,18.120
566,18.126
567,18.190
568,18.263
569,18.282
570,18.288
571,18.350
572,18.371
573,18.377
574,18.434
575,18.455
576,18.461
577,18.471
578,18.506
579,18.537
580,18.547
581,18.565
582,18.601
583,18.610
584,18.691
585,18.713
586,18.719
587,18.724
588,18.780
589,18.801
590,18.870
591,18.894
592,18.900
593,18.974
594,18.994
595,19.000
596,19.065
597,19.086
598,19.096
599,19.117
600,19.128
601,19.231
602,19.259
603,19.272
604,19.348
605,19.368
606,19.373
607,19.379
608,19.442
609,19.463
610,19.468
611,19.522
612,19.538
613,19.544
