n,seconds
1,0.000
2,0.005
3,0.233
4,0.270
5,0.299
6,0.311
7,0.334
8,0.353
9,0.370
10,0.391
11,0.419
12,0.439
13,0.447
14,0.456
15,0.484
16,0.498
17,0.516
18,0.530
19,0.536
20,0.565
21,0.604
22,0.618
23,0.636
24,0.651
25,0.657
26,0.680
27,0.707
28,0.719
29,0.739
30,0.753
31,0.770
32,0.798
33,0.808
34,0.814
35,0.820
36,0.836
37,0.848
38,0.875
39,0.908
40,0.917
41,0.927
42,0.938
43,0.948
44,0.958
45,0.968
46,0.977
47,0.986
48,0.995
49,1.005
50,1.015
51,1.026
52,1.034
53,1.041
54,1.048
55,1.069
56,1.106
57,1.129
58,1.136
59,1.147
60,1.169
61,1.179
62,1.202
63,1.229
64,1.252
65,1.259
66,1.266
67,1.290
68,1.310
69,1.334
70,1.352
71,1.377
72,1.396
73,1.419
74,1.437
75,1.468
76,1.492
77,1.526
78,1.548
79,1.580
80,1.609
81,1.614
82,1.624
83,1.645
84,1.671
85,1.691
86,1.718
87,1.736
88,1.759
89,1.778
90,1.802
91,1.824
92,1.851
93,1.873
94,1.896
95,1.918
96,1.942
97,1.963
98,1.985
99,2.004
100,2.039
101,2.063
102,2.094
103,2.119
104,2.151
105,2.168
106,2.175
107,2.184
108,2.188
109,2.209
110,2.226
111,2.254
112,2.259
113,2.265
114,2.271
115,2.277
116,2.283
117,2.288
118,2.294
119,2.300
120,2.306
121,2.312
122,2.318
123,2.325
124,2.331
125,2.338
126,2.359
127,2.391
128,2.417
129,2.447
130,2.467
131,2.472
132,2.493
133,2.523
134,2.534
135,2.567
136,2.578
137,2.607
138,2.634
139,2.657
140,2.664
141,2.679
142,2.697
143,2.712
144,2.731
145,2.757
146,2.781
147,2.786
148,2.792
149,2.799
150,2.805
151,2.811
152,2.817
153,2.839
154,2.859
155,2.864
156,2.870
157,2.876
158,2.897
159,2.914
160,2.920
161,2.925
162,2.952
163,2.972
164,2.986
165,2.997
166,3.007
167,3.017
168,3.050
169,3.079
170,3.108
171,3.131
172,3.137
173,3.143
174,3.168
175,3.190
176,3.195
177,3.201
178,3.207
179,3.213
180,3.229
181,3.248
182,3.270
183,3.288
184,3.294
185,3.299
186,3.306
187,3.322
188,3.341
189,3.364
190,3.383
191,3.389
192,3.394
193,3.401
194,3.417
195,3.437
196,3.462
197,3.489
198,3.499
199,3.509
200,3.522
201,3.542
202,3.568
203,3.603
204,3.623
205,3.628
206,3.634
207,3.641
208,3.658
209,3.676
210,3.703
211,3.708
212,3.715
213,3.721
214,3.728
215,3.734
216,3.740
217,3.757
218,3.779
219,3.803
220,3.826
221,3.831
222,3.836
223,3.860
224,3.881
225,3.886
226,3.892
227,3.915
228,3.919
229,3.925
230,3.935
231,3.944
232,3.958
233,3.972
234,3.986
235,3.995
236,4.015
237,4.037
238,4.063
239,4.082
240,4.106
241,4.111
242,4.117
243,4.123
244,4.129
245,4.135
246,4.143
247,4.154
248,4.169
249,4.176
250,4.195
251,4.213
252,4.239
253,4.261
254,4.300
255,4.354
256,4.400
257,4.412
258,4.416
259,4.424
260,4.430
261,4.439
262,4.472
263,4.489
264,4.545
265,4.581
266,4.591
267,4.613
268,4.647
269,4.667
270,4.688
271,4.712
272,4.719
273,4.727
274,4.759
275,4.788
276,4.802
277,4.828
278,4.850
279,4.869
280,4.893
281,4.913
282,4.920
283,4.946
284,4.970
285,4.981
286,4.992
287,5.002
288,5.037
289,5.052
290,5.060
291,5.073
292,5.079
293,5.087
294,5.095
295,5.125
296,5.169
297,5.195
298,5.203
299,5.211
300,5.219
301,5.242
302,5.280
303,5.315
304,5.337
305,5.358
306,5.378
307,5.399
308,5.420
309,5.441
310,5.460
311,5.464
312,5.493
313,5.519
314,5.551
315,5.575
316,5.606
317,5.633
318,5.639
319,5.645
320,5.654
321,5.690
322,5.709
323,5.715
324,5.737
325,5.758
326,5.763
327,5.785
328,5.804
329,5.814
330,5.834
331,5.840
332,5.849
333,5.888
334,5.908
335,5.914
336,5.937
337,5.957
338,5.967
339,6.001
340,6.027
341,6.036
342,6.044
343,6.057
344,6.085
345,6.099
346,6.120
347,6.125
348,6.131
349,6.142
350,6.162
351,6.168
352,6.192
353,6.216
354,6.237
355,6.255
356,6.261
357,6.286
358,6.309
359,6.319
360,6.341
361,6.369
362,6.390
363,6.396
364,6.418
365,6.441
366,6.452
367,6.488
368,6.522
369,6.549
370,6.573
371,6.582
372,6.606
373,6.624
374,6.630
375,6.639
376,6.674
377,6.693
378,6.698
379,6.719
380,6.738
381,6.760
382,6.778
383,6.784
384,6.789
385,6.810
386,6.844
387,6.863
388,6.887
389,6.909
390,6.937
391,6.965
392,6.974
393,6.983
394,6.991
395,6.999
396,7.007
397,7.020
398,7.063
399,7.082
400,7.087
401,7.109
402,7.128
403,7.134
404,7.155
405,7.174
406,7.180
407,7.202
408,7.221
409,7.227
410,7.249
411,7.268
412,7.274
413,7.280
414,7.302
415,7.321
416,7.327
417,7.349
418,7.369
419,7.379
420,7.413
421,7.440
422,7.449
423,7.477
424,7.501
425,7.527
426,7.545
427,7.567
428,7.585
429,7.591
430,7.597
431,7.618
432,7.636
433,7.642
434,7.666
435,7.685
436,7.691
437,7.701
438,7.736
439,7.755
440,7.761
441,7.783
442,7.801
443,7.823
444,7.842
445,7.851
446,7.861
447,7.875
448,7.925
449,7.949
450,7.958
451,7.988
452,8.010
453,8.015
454,8.040
455,8.062
456,8.068
457,8.089
458,8.107
459,8.112
460,8.137
461,8.158
462,8.163
463,8.169
464,8.192
465,8.210
466,8.216
467,8.221
468,8.243
469,8.262
470,8.268
471,8.290
472,8.307
473,8.317
474,8.352
475,8.380
476,8.389
477,8.418
478,8.444
479,8.453
480,8.478
481,8.497
482,8.502
483,8.523
484,8.544
485,8.546
486,8.555
487,8.573
488,8.594
489,8.613
490,8.635
491,8.653
492,8.658
493,8.664
494,8.685
495,8.704
496,8.709
497,8.731
498,8.750
499,8.755
500,8.759
501,8.790
502,8.822
503,8.851
504,8.859
505,8.871
506,8.900
507,8.906
508,8.929
509,8.946
510,8.968
511,8.986
512,8.992
513,9.012
514,9.031
515,9.041
516,9.059
517,9.080
518,9.097
519,9.118
520,9.135
521,9.140
522,9.149
523,9.213
524,9.230
525,9.236
526,9.259
527,9.288
528,9.297
529,9.331
530,9.356
531,9.365
532,9.395
533,9.414
534,9.419
535,9.441
536,9.461
537,9.466
538,9.487
539,9.504
540,9.509
541,9.515
542,9.536
543,9.555
544,9.561
545,9.585
546,9.603
547,9.609
548,9.630
549,9.663
550,9.681
551,9.687
552,9.711
553,9.739
554,9.748
555,9.779
556,9.803
557,9.811
558,9.842
559,9.864
560,9.872
561,9.892
562,9.913
563,9.930
564,9.951
565,9.970
566,9.976
567,9.997
568,10.030
569,10.049
570,10.054
571,10.075
572,10.095
573,10.100
574,10.121
575,10.140
576,10.145
577,10.153
578,10.186
579,10.215
580,10.224
581,10.238
582,10.261
583,10.269
584,10.301
585,10.322
586,10.327
587,10.332
588,10.353
589,10.372
590,10.393
591,10.413
592,10.418
593,10.440
594,10.460
595,10.466
596,10.487
597,10.505
598,10.515
599,10.533
600,10.538
601,10.563
602,10.581
603,10.587
604,10.605
605,10.631
606,10.640
607,10.650
608,10.683
609,10.707
610,10.715
611,10.744
612,10.757
613,10.762
