n,seconds
1,0.000
2,0.003
3,0.006
4,0.010
5,0.010
6,0.013
7,0.016
8,0.020
9,0.022
10,0.023
11,0.026
12,0.028
13,0.031
14,0.033
15,0.034
16,0.035
17,0.035
18,0.036
19,0.036
20,0.037
21,0.038
22,0.040
23,0.041
24,0.044
25,0.046
26,0.051
27,0.052
28,0.054
29,0.057
30,0.060
31,0.060
32,0.061
33,0.063
34,0.064
35,0.065
36,0.067
37,0.067
38,0.068
39,0.068
40,0.069
41,0.069
42,0.070
43,0.071
44,0.073
45,0.075
46,0.077
47,0.080
48,0.081
49,0.084
50,0.088
51,0.091
52,0.091
53,0.092
54,0.094
55,0.095
56,0.098
57,0.100
58,0.104
59,0.104
60,0.105
61,0.105
62,0.106
63,0.107
64,0.109
65,0.110
66,0.111
67,0.111
68,0.111
69,0.112
70,0.112
71,0.113
72,0.116
73,0.117
74,0.120
75,0.123
76,0.127
77,0.128
78,0.129
79,0.134
80,0.138
81,0.143
82,0.148
83,0.152
84,0.157
85,0.157
86,0.162
87,0.166
88,0.169
89,0.174
90,0.175
91,0.179
92,0.180
93,0.180
94,0.181
95,0.182
96,0.182
97,0.183
98,0.184
99,0.191
100,0.193
101,0.197
102,0.200
103,0.203
104,0.206
105,0.209
106,0.212
107,0.215
108,0.218
109,0.222
110,0.224
111,0.232
112,0.233
113,0.234
114,0.235
115,0.236
116,0.236
117,0.237
118,0.238
119,0.239
120,0.240
121,0.240
122,0.241
123,0.242
124,0.243
125,0.244
126,0.244
127,0.245
128,0.246
129,0.250
130,0.253
131,0.256
132,0.258
133,0.259
134,0.260
135,0.263
136,0.266
137,0.269
138,0.272
139,0.275
140,0.278
141,0.281
142,0.283
143,0.287
144,0.289
145,0.291
146,0.292
147,0.294
148,0.296
149,0.296
150,0.297
151,0.298
152,0.300
153,0.304
154,0.310
155,0.313
156,0.317
157,0.320
158,0.324
159,0.327
160,0.330
161,0.333
162,0.334
163,0.336
164,0.337
165,0.338
166,0.339
167,0.340
168,0.341
169,0.343
170,0.344
171,0.345
172,0.346
173,0.347
174,0.348
175,0.350
176,0.351
177,0.354
178,0.354
179,0.355
180,0.357
181,0.358
182,0.359
183,0.360
184,0.362
185,0.364
186,0.366
187,0.366
188,0.368
189,0.369
190,0.370
191,0.371
192,0.372
193,0.373
194,0.374
195,0.375
196,0.376
197,0.377
198,0.378
199,0.380
200,0.382
201,0.383
202,0.384
203,0.385
204,0.386
205,0.387
206,0.388
207,0.390
208,0.391
209,0.392
210,0.394
211,0.395
212,0.402
213,0.412
214,0.417
215,0.418
216,0.418
217,0.419
