n,seconds
1,0.000
2,0.090
3,0.289
4,0.749
5,1.031
6,1.321
7,1.462
8,1.679
9,1.829
10,2.115
11,2.250
12,2.456
13,2.526
14,2.624
15,2.793
16,2.994
17,3.134
18,3.383
19,3.464
20,3.826
21,4.568
22,4.798
23,4.949
24,5.205
25,5.276
26,5.443
27,5.835
28,6.044
29,6.200
30,6.484
31,6.626
32,6.938
33,7.036
34,7.136
35,7.217
36,7.358
37,7.574
38,7.782
39,8.041
40,8.125
41,8.215
42,8.300
43,8.411
44,8.527
45,8.630
46,8.720
47,8.805
48,8.890
49,8.977
50,9.066
51,9.164
52,9.278
53,9.381
54,9.467
55,9.617
56,9.944
57,10.195
58,10.276
59,10.430
60,10.722
61,10.872
62,11.098
63,11.298
64,11.562
65,11.648
66,11.735
67,11.884
68,12.158
69,12.307
70,12.532
71,12.738
72,12.958
73,13.106
74,13.385
75,13.544
76,13.767
77,13.926
78,14.191
79,14.342
80,14.586
81,14.690
82,14.862
83,15.085
84,15.266
85,15.515
86,15.664
87,15.894
88,16.102
89,16.327
90,16.480
91,16.768
92,16.927
93,17.151
94,17.326
95,17.584
96,17.735
97,17.991
98,18.172
99,18.403
100,18.557
101,18.839
102,18.974
103,19.184
104,19.408
105,19.493
106,19.565
107,19.633
108,19.702
109,19.865
110,20.162
111,20.313
112,20.390
113,20.468
114,20.550
115,20.634
116,20.741
117,20.842
118,20.920
119,21.001
120,21.080
121,21.159
122,21.238
123,21.323
124,21.429
125,21.537
126,21.684
127,21.970
128,22.336
129,22.646
130,22.914
131,22.988
132,23.135
133,23.393
134,23.558
135,23.781
136,23.929
137,24.247
138,24.388
139,24.603
140,24.705
141,24.881
142,25.098
143,25.258
144,25.553
145,25.705
146,25.932
147,26.037
148,26.136
149,26.224
150,26.302
151,26.382
152,26.458
153,26.608
154,26.881
155,26.954
156,27.029
157,27.106
158,27.247
159,27.508
160,27.590
161,27.666
162,27.814
163,28.064
164,28.168
165,28.248
166,28.342
167,28.433
168,28.582
169,28.855
170,28.998
171,29.209
172,29.284
173,29.387
174,29.552
175,29.767
176,29.840
177,29.924
178,30.024
179,30.121
180,30.282
181,30.521
182,30.712
183,30.937
184,31.011
185,31.086
186,31.163
187,31.376
188,31.627
189,31.773
190,32.047
191,32.121
192,32.194
193,32.268
194,32.430
195,32.719
196,32.863
197,33.077
198,33.154
199,33.251
200,33.347
201,33.520
202,33.767
203,33.938
