n,seconds
1,0.000
2,0.010
3,0.019
4,0.029
5,0.036
6,0.046
7,0.057
8,0.068
9,0.081
10,0.084
11,0.092
12,0.101
13,0.109
14,0.118
15,0.126
16,0.134
17,0.141
18,0.148
19,0.156
20,0.163
21,0.171
22,0.180
23,0.188
24,0.197
25,0.204
26,0.214
27,0.221
28,0.230
29,0.241
30,0.250
31,0.258
32,0.266
33,0.274
34,0.282
35,0.292
36,0.298
37,0.304
38,0.310
39,0.315
40,0.320
41,0.326
42,0.332
43,0.338
44,0.347
45,0.351
46,0.359
47,0.365
48,0.370
49,0.377
50,0.385
51,0.391
52,0.397
53,0.402
54,0.409
55,0.414
56,0.420
57,0.426
58,0.432
59,0.437
60,0.442
61,0.447
62,0.452
63,0.458
64,0.464
65,0.470
66,0.476
67,0.480
68,0.486
69,0.492
70,0.497
71,0.503
72,0.510
73,0.517
74,0.524
75,0.532
76,0.539
77,0.545
78,0.552
79,0.559
80,0.567
81,0.576
82,0.584
83,0.591
84,0.599
85,0.605
86,0.613
87,0.621
88,0.628
89,0.635
90,0.642
91,0.650
92,0.656
93,0.661
94,0.666
95,0.672
96,0.677
97,0.683
98,0.689
99,0.697
100,0.703
101,0.709
102,0.716
103,0.721
104,0.728
105,0.734
106,0.740
107,0.746
108,0.752
109,0.758
110,0.765
111,0.773
112,0.778
113,0.787
114,0.794
115,0.803
116,0.810
117,0.816
118,0.823
119,0.830
120,0.837
121,0.844
122,0.851
123,0.857
124,0.863
125,0.870
126,0.877
127,0.883
128,0.890
129,0.895
130,0.900
131,0.907
132,0.913
133,0.919
134,0.925
135,0.932
136,0.938
137,0.944
138,0.950
139,0.956
140,0.962
141,0.968
142,0.974
143,0.979
144,0.985
145,0.991
146,0.998
147,1.004
148,1.010
149,1.015
150,1.020
151,1.026
152,1.032
153,1.038
154,1.045
155,1.052
156,1.057
157,1.064
158,1.070
159,1.076
160,1.081
161,1.088
162,1.094
163,1.100
164,1.106
165,1.113
166,1.119
167,1.125
168,1.131
169,1.137
170,1.146
171,1.155
172,1.165
173,1.174
174,1.183
175,1.194
176,1.203
177,1.212
178,1.221
179,1.229
180,1.236
181,1.244
182,1.252
183,1.260
184,1.270
185,1.279
186,1.288
187,1.296
188,1.305
189,1.313
190,1.322
191,1.330
192,1.338
193,1.347
194,1.356
195,1.365
196,1.374
197,1.384
198,1.393
199,1.403
200,1.412
201,1.422
202,1.431
203,1.440
204,1.449
205,1.458
206,1.466
207,1.476
208,1.486
209,1.497
210,1.508
211,1.517
212,1.526
213,1.537
214,1.545
215,1.551
216,1.557
217,1.563
218,1.569
219,1.576
220,1.583
221,1.590
222,1.599
223,1.608
224,1.617
225,1.626
226,1.635
227,1.645
228,1.653
229,1.661
230,1.667
231,1.678
232,1.690
233,1.697
234,1.704
235,1.712
236,1.719
237,1.726
238,1.734
239,1.741
240,1.748
241,1.755
242,1.762
243,1.769
244,1.777
245,1.785
246,1.793
247,1.801
248,1.809
249,1.817
250,1.825
251,1.832
252,1.840
253,1.848
254,1.856
255,1.863
256,1.871
257,1.879
258,1.887
259,1.895
260,1.904
261,1.913
262,1.921
263,1.928
264,1.936
265,1.947
266,1.953
267,1.961
268,1.971
269,1.985
270,2.000
271,2.015
272,2.030
273,2.042
274,2.054
275,2.067
276,2.077
277,2.083
278,2.091
279,2.099
280,2.105
281,2.112
282,2.122
283,2.130
284,2.138
285,2.144
286,2.152
287,2.161
288,2.167
289,2.174
290,2.182
291,2.189
292,2.198
293,2.204
294,2.211
295,2.219
296,2.225
297,2.232
298,2.240
299,2.246
300,2.254
301,2.262
302,2.269
303,2.275
304,2.282
305,2.290
306,2.297
307,2.304
308,2.311
309,2.317
310,2.323
311,2.329
312,2.335
313,2.343
314,2.353
315,2.359
316,2.367
317,2.374
318,2.382
319,2.387
320,2.394
321,2.402
322,2.409
323,2.417
324,2.423
325,2.433
326,2.444
327,2.453
328,2.464
329,2.479
330,2.489
331,2.503
332,2.514
333,2.525
334,2.533
335,2.543
336,2.555
337,2.567
338,2.577
339,2.586
340,2.596
341,2.606
342,2.616
343,2.628
344,2.638
345,2.648
346,2.658
347,2.667
348,2.677
349,2.690
350,2.699
351,2.712
352,2.722
353,2.732
354,2.740
355,2.751
356,2.762
357,2.772
358,2.783
359,2.795
360,2.809
361,2.816
362,2.822
363,2.828
364,2.834
365,2.840
366,2.846
367,2.854
368,2.866
369,2.878
370,2.889
371,2.899
372,2.908
373,2.916
374,2.922
375,2.930
376,2.938
377,2.944
378,2.951
379,2.961
380,2.967
381,2.976
382,2.983
383,2.993
384,3.001
385,3.009
386,3.016
387,3.024
388,3.033
389,3.039
390,3.044
391,3.052
392,3.061
393,3.067
394,3.074
395,3.082
396,3.087
397,3.095
398,3.104
399,3.110
400,3.116
401,3.123
402,3.132
403,3.138
404,3.144
405,3.151
406,3.161
407,3.167
408,3.174
409,3.182
410,3.191
411,3.200
412,3.207
413,3.215
414,3.224
415,3.232
416,3.241
417,3.247
418,3.255
419,3.265
420,3.271
421,3.278
422,3.285
423,3.295
424,3.302
425,3.310
426,3.321
427,3.328
428,3.335
429,3.343
430,3.353
431,3.359
432,3.370
433,3.380
434,3.387
435,3.393
436,3.401
437,3.410
438,3.418
439,3.426
440,3.435
441,3.444
442,3.452
443,3.460
444,3.470
445,3.477
446,3.484
447,3.492
448,3.500
449,3.509
450,3.517
451,3.526
452,3.532
453,3.540
454,3.548
455,3.554
456,3.560
457,3.568
458,3.577
459,3.584
460,3.591
461,3.600
462,3.609
463,3.615
464,3.622
465,3.628
466,3.633
467,3.639
468,3.646
469,3.657
470,3.666
471,3.678
472,3.692
473,3.701
474,3.713
475,3.725
476,3.735
477,3.743
478,3.754
479,3.765
480,3.775
481,3.785
482,3.797
483,3.806
484,3.816
485,3.827
486,3.841
487,3.853
488,3.863
489,3.873
490,3.884
491,3.898
492,3.906
493,3.916
494,3.926
495,3.936
496,3.948
497,3.959
498,3.971
499,3.980
500,3.994
501,4.008
502,4.019
503,4.028
504,4.036
505,4.045
506,4.051
507,4.058
508,4.068
509,4.073
510,4.082
511,4.092
512,4.100
513,4.107
