n,seconds
1,0.000
2,0.007
3,0.156
4,0.262
5,0.348
6,0.362
7,0.432
8,0.447
9,0.520
10,0.538
11,0.608
12,0.626
13,0.633
14,0.639
15,0.691
16,0.704
17,0.773
18,0.795
19,0.805
20,0.944
21,1.042
22,1.057
23,1.114
24,1.130
25,1.138
26,1.218
27,1.299
28,1.310
29,1.373
30,1.388
31,1.447
32,1.519
33,1.544
34,1.556
35,1.566
36,1.633
37,1.655
38,1.734
39,1.763
40,1.769
41,1.776
42,1.782
43,1.788
44,1.795
45,1.801
46,1.808
47,1.815
48,1.821
49,1.829
50,1.836
51,1.843
52,1.850
53,1.858
54,1.865
55,1.917
56,1.991
57,2.015
58,2.022
59,2.078
60,2.101
61,2.174
62,2.212
63,2.313
64,2.345
65,2.352
66,2.358
67,2.421
68,2.440
69,2.495
70,2.514
71,2.569
72,2.588
73,2.644
74,2.666
75,2.726
76,2.744
77,2.802
78,2.820
79,2.906
80,2.937
81,2.943
82,3.019
83,3.040
84,3.113
85,3.131
86,3.205
87,3.227
88,3.284
89,3.304
90,3.366
91,3.386
92,3.444
93,3.464
94,3.541
95,3.574
96,3.651
97,3.681
98,3.743
99,3.765
100,3.828
101,3.846
102,3.903
103,3.922
104,3.975
105,3.990
106,3.995
107,4.007
108,4.012
109,4.079
110,4.097
111,4.170
112,4.176
113,4.187
114,4.201
115,4.211
116,4.221
117,4.230
118,4.239
119,4.248
120,4.257
121,4.266
122,4.276
123,4.286
124,4.292
125,4.298
126,4.351
127,4.408
128,4.464
129,4.513
130,4.535
131,4.541
132,4.601
133,4.623
134,4.680
135,4.702
136,4.772
137,4.807
138,4.883
139,4.910
140,4.922
141,4.964
142,4.983
143,5.028
144,5.048
145,5.109
146,5.136
147,5.142
148,5.148
149,5.155
150,5.162
151,5.168
152,5.174
153,5.228
154,5.249
155,5.255
156,5.260
157,5.267
158,5.321
159,5.341
160,5.350
161,5.360
162,5.451
163,5.482
164,5.494
165,5.503
166,5.513
167,5.522
168,5.582
169,5.602
170,5.655
171,5.674
172,5.680
173,5.686
174,5.743
175,5.767
176,5.773
177,5.779
178,5.787
179,5.793
180,5.858
181,5.877
182,5.932
183,5.953
184,5.963
185,5.974
186,5.987
187,6.073
188,6.100
189,6.172
190,6.192
191,6.198
192,6.203
193,6.210
194,6.273
195,6.292
196,6.348
197,6.369
198,6.375
199,6.381
200,6.388
201,6.451
202,6.470
