n,seconds
1,0.000
2,0.004
3,0.007
4,0.011
5,0.013
6,0.017
7,0.020
8,0.024
9,0.028
10,0.029
11,0.032
12,0.035
13,0.039
14,0.042
15,0.043
16,0.044
17,0.045
18,0.045
19,0.046
20,0.047
21,0.048
22,0.051
23,0.053
24,0.057
25,0.060
26,0.066
27,0.068
28,0.071
29,0.075
30,0.079
31,0.080
32,0.081
33,0.083
34,0.084
35,0.085
36,0.087
37,0.088
38,0.089
39,0.090
40,0.090
41,0.091
42,0.091
43,0.093
44,0.096
45,0.097
46,0.101
47,0.103
48,0.105
49,0.107
50,0.112
51,0.115
52,0.115
53,0.116
54,0.119
55,0.119
56,0.123
57,0.127
58,0.130
59,0.132
60,0.133
61,0.133
62,0.134
63,0.135
64,0.138
65,0.139
66,0.140
67,0.141
68,0.141
69,0.142
70,0.143
71,0.144
72,0.148
73,0.149
74,0.153
75,0.155
76,0.159
77,0.160
78,0.161
79,0.166
80,0.169
81,0.174
82,0.178
83,0.181
84,0.185
85,0.186
86,0.190
87,0.193
88,0.196
89,0.200
90,0.201
91,0.205
92,0.205
93,0.206
94,0.206
95,0.207
96,0.207
97,0.208
98,0.209
99,0.216
100,0.218
101,0.221
102,0.224
103,0.227
104,0.230
105,0.233
106,0.236
107,0.239
108,0.241
109,0.244
110,0.247
111,0.254
112,0.255
113,0.256
114,0.257
115,0.257
116,0.258
117,0.258
118,0.259
119,0.260
120,0.261
121,0.261
122,0.262
123,0.263
124,0.263
125,0.264
126,0.265
127,0.266
128,0.266
129,0.270
130,0.273
131,0.276
132,0.276
133,0.277
134,0.278
135,0.280
136,0.282
137,0.284
138,0.286
139,0.288
140,0.290
141,0.292
142,0.294
143,0.296
144,0.298
145,0.299
146,0.300
147,0.301
148,0.303
149,0.303
150,0.303
151,0.304
152,0.305
153,0.308
154,0.312
155,0.314
156,0.317
157,0.319
158,0.322
159,0.323
160,0.326
161,0.328
162,0.329
163,0.331
164,0.331
165,0.332
166,0.333
167,0.334
168,0.335
169,0.336
170,0.337
171,0.337
172,0.339
173,0.339
174,0.340
175,0.344
176,0.344
177,0.345
178,0.345
179,0.346
180,0.347
181,0.348
182,0.349
183,0.350
184,0.351
185,0.352
186,0.353
187,0.354
188,0.355
189,0.356
190,0.357
191,0.358
192,0.359
193,0.360
194,0.360
195,0.361
196,0.362
197,0.363
198,0.364
199,0.366
200,0.366
201,0.368
202,0.368
203,0.370
204,0.370
205,0.371
206,0.372
207,0.373
208,0.374
209,0.375
210,0.376
211,0.377
212,0.382
213,0.389
214,0.392
215,0.393
216,0.394
217,0.394
218,0.395
219,0.396
220,0.396
221,0.400
222,0.405
223,0.411
224,0.417
225,0.422
226,0.428
227,0.434
228,0.440
229,0.443
230,0.444
231,0.452
232,0.458
233,0.459
234,0.460
235,0.462
236,0.462
237,0.464
238,0.465
239,0.466
240,0.467
241,0.468
242,0.469
243,0.474
244,0.478
245,0.480
246,0.484
247,0.486
248,0.490
249,0.493
250,0.496
251,0.501
252,0.505
253,0.509
254,0.513
255,0.517
256,0.521
257,0.525
258,0.528
259,0.532
260,0.535
261,0.537
262,0.541
263,0.542
264,0.543
265,0.547
266,0.548
267,0.548
268,0.551
269,0.554
270,0.555
271,0.557
272,0.561
273,0.561
274,0.563
275,0.566
276,0.566
277,0.567
278,0.569
279,0.572
280,0.573
281,0.577
282,0.581
283,0.584
284,0.588
285,0.589
286,0.592
287,0.596
288,0.597
289,0.600
290,0.603
291,0.605
292,0.609
293,0.610
294,0.611
295,0.614
296,0.615
297,0.618
298,0.621
299,0.622
300,0.627
301,0.631
302,0.631
303,0.632
304,0.637
305,0.640
306,0.641
307,0.643
308,0.647
309,0.648
310,0.648
311,0.649
312,0.650
313,0.654
314,0.658
315,0.662
316,0.666
317,0.668
318,0.671
319,0.672
320,0.673
321,0.677
322,0.680
323,0.685
324,0.685
325,0.688
326,0.692
327,0.692
328,0.698
329,0.702
330,0.707
331,0.711
332,0.715
333,0.719
334,0.720
335,0.724
336,0.728
337,0.730
338,0.734
339,0.735
340,0.736
341,0.740
342,0.743
343,0.748
344,0.749
345,0.752
346,0.756
347,0.757
348,0.762
349,0.766
350,0.771
351,0.776
352,0.780
353,0.783
354,0.784
355,0.789
356,0.794
357,0.795
358,0.796
359,0.800
360,0.804
361,0.805
362,0.805
363,0.806
364,0.807
365,0.807
366,0.808
367,0.811
368,0.818
369,0.825
370,0.832
371,0.838
372,0.845
373,0.849
374,0.850
375,0.853
376,0.858
377,0.858
378,0.863
379,0.867
380,0.871
381,0.874
382,0.878
383,0.882
384,0.884
385,0.888
386,0.888
387,0.890
388,0.894
389,0.895
390,0.896
391,0.899
392,0.903
393,0.904
394,0.906
395,0.910
396,0.911
397,0.912
398,0.916
399,0.917
400,0.918
401,0.919
402,0.924
403,0.924
404,0.925
405,0.928
406,0.932
407,0.933
408,0.936
409,0.939
410,0.944
411,0.948
412,0.949
413,0.953
414,0.956
415,0.958
416,0.962
417,0.963
418,0.965
419,0.969
420,0.969
421,0.970
422,0.973
423,0.977
424,0.978
425,0.983
426,0.987
427,0.988
428,0.988
429,0.992
430,0.996
431,0.997
432,1.002
433,1.007
434,1.007
435,1.008
436,1.013
437,1.017
438,1.019
439,1.022
440,1.027
441,1.031
442,1.032
443,1.037
444,1.041
445,1.042
446,1.044
