n,seconds
1,0.000
2,0.018
3,0.028
4,0.031
5,0.068
6,0.070
7,0.100
8,0.109
9,0.111
10,0.229
11,0.232
12,0.306
13,0.355
14,0.357
15,0.359
16,0.382
17,0.384
18,0.386
19,0.388
20,0.389
21,0.393
22,0.402
23,0.404
24,0.440
25,0.441
26,0.469
27,0.479
28,0.480
29,0.588
30,0.590
31,0.682
32,0.745
33,0.747
34,0.750
35,0.779
36,0.782
37,0.784
38,0.786
39,0.788
40,0.793
41,0.807
42,0.809
43,0.858
44,0.860
45,0.901
46,0.916
47,0.918
48,1.070
49,1.072
50,1.151
51,1.199
52,1.201
53,1.203
54,1.228
55,1.230
56,1.232
57,1.234
58,1.236
59,1.239
60,1.248
61,1.250
62,1.287
63,1.289
64,1.317
65,1.326
66,1.328
67,1.455
68,1.457
69,1.592
70,1.660
71,1.662
72,1.665
73,1.692
74,1.695
75,1.697
76,1.700
77,1.702
78,1.706
79,1.720
80,1.722
81,1.761
82,1.763
83,1.789
84,1.798
85,1.801
86,1.925
87,1.928
88,2.003
89,2.050
90,2.053
91,2.055
92,2.076
93,2.078
94,2.081
95,2.084
96,2.086
97,2.090
98,2.099
99,2.101
100,2.142
101,2.145
102,2.180
103,2.192
104,2.195
105,2.341
106,2.345
107,2.460
108,2.533
109,2.536
110,2.538
111,2.569
112,2.572
113,2.574
114,2.577
115,2.579
116,2.585
117,2.603
118,2.605
119,2.664
120,2.667
121,2.716
122,2.736
123,2.739
124,2.914
125,2.918
126,3.016
127,3.066
128,3.069
129,3.071
130,3.095
131,3.098
132,3.100
133,3.103
134,3.105
135,3.110
136,3.122
137,3.124
138,3.160
139,3.163
140,3.189
141,3.199
142,3.201
143,3.319
144,3.322
145,3.407
146,3.454
147,3.456
148,3.459
149,3.481
150,3.483
151,3.486
152,3.488
153,3.491
154,3.495
155,3.506
156,3.508
157,3.544
158,3.546
159,3.576
160,3.587
161,3.589
162,3.704
163,3.706
164,3.783
165,3.827
166,3.830
167,3.833
168,3.854
169,3.857
170,3.860
171,3.863
172,3.866
173,3.871
174,3.882
175,3.885
176,3.921
177,3.923
178,3.952
179,3.968
180,3.970
181,4.127
182,4.130
183,4.242
184,4.300
185,4.302
186,4.304
187,4.330
188,4.332
189,4.335
190,4.337
191,4.339
192,4.343
193,4.360
194,4.361
195,4.395
196,4.397
197,4.425
198,4.437
199,4.439
200,4.557
201,4.559
202,4.651
203,4.698
204,4.700
205,4.702
206,4.724
207,4.726
208,4.728
209,4.731
210,4.733
211,4.736
212,4.748
213,4.750
214,4.789
215,4.791
216,4.819
217,4.830
218,4.831
219,4.961
220,4.963
221,5.059
222,5.105
223,5.107
224,5.109
225,5.131
226,5.133
227,5.135
228,5.137
229,5.140
230,5.144
231,5.156
232,5.158
233,5.197
234,5.199
235,5.231
236,5.242
237,5.245
238,5.386
239,5.389
240,5.494
241,5.552
242,5.555
243,5.557
244,5.582
245,5.584
246,5.586
247,5.588
248,5.590
249,5.594
250,5.609
251,5.611
252,5.662
253,5.664
254,5.700
255,5.715
256,5.717
257,5.722
258,5.729
259,5.731
260,5.895
261,5.899
262,5.902
263,5.905
264,6.003
265,6.134
266,6.136
267,6.139
268,6.141
269,6.234
270,6.288
271,6.290
272,6.292
273,6.323
274,6.325
275,6.327
276,6.329
277,6.330
278,6.332
279,6.377
280,6.379
281,6.381
282,6.399
283,6.410
284,6.411
285,6.454
286,6.455
287,6.484
288,6.494
289,6.496
290,6.638
291,6.640
292,6.738
293,6.795
294,6.797
295,6.799
296,6.829
297,6.831
298,6.833
299,6.834
300,6.836
301,6.838
302,6.882
303,6.885
304,6.886
305,6.904
306,6.912
307,6.914
308,6.967
309,6.970
310,7.009
311,7.024
312,7.026
313,7.196
314,7.199
315,7.318
316,7.384
317,7.386
318,7.388
319,7.420
320,7.422
321,7.423
322,7.425
323,7.427
324,7.429
325,7.476
326,7.478
327,7.480
328,7.497
329,7.507
330,7.509
331,7.544
332,7.546
333,7.575
334,7.585
335,7.587
336,7.720
337,7.723
338,7.817
339,7.872
340,7.874
341,7.876
342,7.904
343,7.906
344,7.908
345,7.910
346,7.911
347,7.913
348,7.954
349,7.956
350,7.958
351,7.975
352,7.985
353,7.986
354,8.085
355,8.087
356,8.157
357,8.186
358,8.197
359,8.198
360,8.331
361,8.334
362,8.336
363,8.440
364,8.617
365,8.621
366,8.624
367,8.746
368,8.906
369,8.910
370,8.913
371,9.013
372,9.045
373,9.055
374,9.057
375,9.102
376,9.104
377,9.162
378,9.163
379,9.165
380,9.197
381,9.198
382,9.200
383,9.202
384,9.204
385,9.206
386,9.209
387,9.252
388,9.254
389,9.256
390,9.274
391,9.284
392,9.286
393,9.394
394,9.396
395,9.474
396,9.500
397,9.511
398,9.513
399,9.558
400,9.560
401,9.592
402,9.604
403,9.605
404,9.651
405,9.653
406,9.684
407,9.694
408,9.696
409,9.740
410,9.743
411,9.775
412,9.785
413,9.787
414,9.837
415,9.839
416,9.895
417,9.899
418,9.902
419,9.905
420,9.907
421,9.910
422,9.913
423,9.917
424,9.920
425,9.923
426,9.927
427,9.930
428,9.934
429,9.937
430,9.964
431,10.042
432,10.046
433,10.050
434,10.053
435,10.133
436,10.138
437,10.144
438,10.150
439,10.217
440,10.222
441,10.226
442,10.230
443,10.283
444,10.287
445,10.291
446,10.294
447,10.360
448,10.364
449,10.368
450,10.373
451,10.421
452,10.425
453,10.428
454,10.431
455,10.481
456,10.485
457,10.488
458,10.491
459,10.540
460,10.544
461,10.547
462,10.551
463,10.587
464,10.604
465,10.606
466,10.615
467,10.630
468,10.679
469,10.682
470,10.685
471,10.688
472,10.737
473,10.740
474,10.743
475,10.746
476,10.795
477,10.798
478,10.802
479,10.805
480,10.851
481,10.855
482,10.858
483,10.863
484,10.906
485,10.910
486,10.914
487,10.918
488,10.921
489,10.925
490,10.930
491,10.934
492,10.938
493,10.943
494,10.947
495,10.952
496,10.958
497,10.963
498,10.985
499,11.049
500,11.053
501,11.057
502,11.062
503,11.119
504,11.125
505,11.132
506,11.137
507,11.183
508,11.188
509,11.192
510,11.196
511,11.254
512,11.258
513,11.263
514,11.266
515,11.343
516,11.349
517,11.354
518,11.358
519,11.421
520,11.424
521,11.428
522,11.432
523,11.497
524,11.501
525,11.505
526,11.509
527,11.576
528,11.581
529,11.585
530,11.589
531,11.632
532,11.649
533,11.651
534,11.660
535,11.677
536,11.730
537,11.733
538,11.736
539,11.738
540,11.788
541,11.791
542,11.794
543,11.796
544,11.843
545,11.845
546,11.849
547,11.852
548,11.898
549,11.901
550,11.904
551,11.908
552,11.964
553,12.011
554,12.015
555,12.018
556,12.022
557,12.025
558,12.029
559,12.032
560,12.036
561,12.039
562,12.044
563,12.048
564,12.052
565,12.056
566,12.060
567,12.115
568,12.118
569,12.121
570,12.176
571,12.179
572,12.181
573,12.235
574,12.239
575,12.241
576,12.297
577,12.300
578,12.303
579,12.363
580,12.368
581,12.374
582,12.433
583,12.437
584,12.441
585,12.497
586,12.539
587,12.541
588,12.543
589,12.546
590,12.548
591,12.549
592,12.551
593,12.553
594,12.555
595,12.557
596,12.559
597,12.561
598,12.563
599,12.566
600,12.570
601,12.573
602,12.577
603,12.580
604,12.584
605,12.587
606,12.591
607,12.622
608,12.679
609,12.756
610,12.759
611,12.762
612,12.765
613,12.841
614,12.845
615,12.849
616,12.852
617,12.932
618,12.936
619,12.940
620,12.944
621,13.023
622,13.026
623,13.029
624,13.031
625,13.093
626,13.096
627,13.099
628,13.101
629,13.158
630,13.161
631,13.164
632,13.167
633,13.227
634,13.229
635,13.233
636,13.236
637,13.293
638,13.296
639,13.299
640,13.302
641,13.359
642,13.362
643,13.365
644,13.367
645,13.425
646,13.428
647,13.432
648,13.435
649,13.494
650,13.497
651,13.501
652,13.504
653,13.565
654,13.568
655,13.571
656,13.574
657,13.630
658,13.633
659,13.636
660,13.640
661,13.698
662,13.702
663,13.706
664,13.710
665,13.767
666,13.771
667,13.775
668,13.778
669,13.833
670,13.837
671,13.841
672,13.846
673,13.900
674,13.904
675,13.907
676,13.917
677,13.978
678,13.983
679,13.987
680,13.990
681,14.069
682,14.072
683,14.076
684,14.079
685,14.155
686,14.158
687,14.161
688,14.164
689,14.240
690,14.243
691,14.246
692,14.323
693,14.326
694,14.329
695,14.396
696,14.398
697,14.401
698,14.461
699,14.464
700,14.466
701,14.519
702,14.522
703,14.524
704,14.581
705,14.584
706,14.586
707,14.641
708,14.643
709,14.646
710,14.701
711,14.747
712,14.749
713,14.752
714,14.755
715,14.758
716,14.761
717,14.764
718,14.767
719,14.770
720,14.773
721,14.776
722,14.779
723,14.782
724,14.785
725,14.852
726,14.856
727,14.859
728,14.962
729,14.968
730,14.973
731,15.046
732,15.049
733,15.052
734,15.123
735,15.126
736,15.129
737,15.208
738,15.213
739,15.218
740,15.299
741,15.304
742,15.308
743,15.383
744,15.448
745,15.451
746,15.453
747,15.456
748,15.459
749,15.462
750,15.464
751,15.468
752,15.471
753,15.474
754,15.477
755,15.480
756,15.484
757,15.487
758,15.490
759,15.493
760,15.497
761,15.500
762,15.504
763,15.507
764,15.511
765,15.543
766,15.601
767,15.698
768,15.702
769,15.706
770,15.709
771,15.786
772,15.790
773,15.793
774,15.797
775,15.876
776,15.881
777,15.885
778,15.889
779,15.965
780,15.969
781,15.973
782,15.977
783,16.047
784,16.050
785,16.054
786,16.057
787,16.128
788,16.132
789,16.136
790,16.140
791,16.213
792,16.217
793,16.221
794,16.225
795,16.304
796,16.307
797,16.312
798,16.316
799,16.392
800,16.396
801,16.399
802,16.403
803,16.480
804,16.483
805,16.487
806,16.491
807,16.567
808,16.570
809,16.574
810,16.578
811,16.676
812,16.684
813,16.690
814,16.694
815,16.801
816,16.805
817,16.809
818,16.814
819,16.914
820,16.918
821,16.923
822,16.927
823,17.024
824,17.027
825,17.031
826,17.034
827,17.112
828,17.116
829,17.119
830,17.123
831,17.196
832,17.199
833,17.203
834,17.207
835,17.279
836,17.283
837,17.286
838,17.290
839,17.361
840,17.364
841,17.368
842,17.371
843,17.444
844,17.447
845,17.451
846,17.455
847,17.528
848,17.532
849,17.535
850,17.612
851,17.616
852,17.620
853,17.696
854,17.700
855,17.704
856,17.776
857,17.780
858,17.783
859,17.856
860,17.860
861,17.863
862,17.941
863,17.946
864,17.950
865,18.049
866,18.053
867,18.057
868,18.132
869,18.192
870,18.196
871,18.199
872,18.203
873,18.206
874,18.209
875,18.213
876,18.217
877,18.220
878,18.224
879,18.228
880,18.232
881,18.235
882,18.239
883,18.345
884,18.348
885,18.352
886,18.411
887,18.457
888,18.459
889,18.527
890,18.531
891,18.534
892,18.604
893,18.608
894,18.610
895,18.715
896,18.715
897,18.715
898,18.802
899,18.807
900,18.811
901,18.875
902,18.929
903,18.933
904,18.935
905,18.938
906,18.941
907,18.944
908,18.946
909,18.949
910,18.952
911,18.955
912,18.958
913,18.962
914,18.965
915,18.968
916,18.971
917,18.974
918,18.977
919,18.980
920,18.983
921,18.985
922,18.988
923,19.013
924,19.058
925,19.141
926,19.145
927,19.149
928,19.152
929,19.224
930,19.228
931,19.231
932,19.235
933,19.307
934,19.311
935,19.314
936,19.317
937,19.412
938,19.417
939,19.421
940,19.425
941,19.521
942,19.525
943,19.530
944,19.533
945,19.639
946,19.643
947,19.648
948,19.652
949,19.760
950,19.764
951,19.769
952,19.772
953,19.862
954,19.866
955,19.870
956,19.874
957,19.951
958,19.954
959,19.958
