n,seconds
1,0.000
2,0.030
3,0.045
4,0.048
5,0.105
6,0.107
7,0.150
8,0.165
9,0.167
10,0.315
11,0.318
12,0.391
13,0.445
14,0.447
15,0.449
16,0.473
17,0.475
18,0.477
19,0.479
20,0.481
21,0.485
22,0.494
23,0.498
24,0.541
25,0.542
26,0.576
27,0.586
28,0.587
29,0.703
30,0.705
31,0.778
32,0.825
33,0.826
34,0.828
35,0.850
36,0.852
37,0.853
38,0.855
39,0.857
40,0.860
41,0.868
42,0.870
43,0.908
44,0.910
45,0.938
46,0.947
47,0.949
48,1.058
49,1.061
50,1.128
51,1.174
52,1.176
53,1.178
54,1.200
55,1.201
56,1.203
57,1.205
58,1.207
59,1.210
60,1.219
61,1.220
62,1.257
63,1.259
64,1.288
65,1.297
66,1.299
67,1.449
68,1.452
69,1.547
70,1.607
71,1.609
72,1.611
73,1.640
74,1.642
75,1.644
76,1.646
77,1.648
78,1.652
79,1.665
80,1.667
81,1.719
82,1.721
83,1.761
84,1.775
85,1.777
86,1.925
87,1.927
88,2.003
89,2.055
90,2.057
91,2.059
92,2.082
93,2.083
94,2.085
95,2.088
96,2.089
97,2.093
98,2.102
99,2.104
100,2.146
101,2.148
102,2.178
103,2.187
104,2.189
105,2.330
106,2.332
107,2.434
108,2.484
109,2.486
110,2.488
111,2.516
112,2.519
113,2.522
114,2.524
115,2.527
116,2.531
117,2.541
118,2.543
119,2.594
120,2.596
121,2.629
122,2.641
123,2.644
124,2.774
125,2.779
126,2.887
127,2.951
128,2.954
129,2.957
130,2.982
131,2.984
132,2.987
133,2.989
134,2.992
135,2.996
136,3.007
137,3.010
138,3.056
139,3.058
140,3.092
141,3.104
142,3.106
143,3.275
144,3.278
145,3.387
146,3.453
147,3.456
148,3.458
149,3.489
150,3.491
151,3.493
152,3.496
153,3.498
154,3.502
155,3.520
156,3.523
157,3.583
158,3.586
159,3.633
160,3.643
161,3.645
162,3.790
163,3.792
164,3.879
165,3.933
166,3.939
167,3.942
168,3.968
169,3.971
170,3.973
171,3.976
172,3.979
173,3.983
174,3.996
175,3.999
176,4.048
177,4.051
178,4.085
179,4.096
180,4.099
181,4.258
182,4.261
183,4.360
184,4.417
185,4.421
186,4.424
187,4.451
188,4.454
189,4.457
190,4.459
191,4.462
192,4.466
193,4.480
194,4.482
195,4.532
196,4.535
197,4.571
198,4.585
199,4.588
200,4.752
201,4.757
202,4.855
203,4.910
204,4.912
205,4.913
206,4.946
207,4.948
208,4.951
209,4.953
210,4.956
211,4.960
212,4.978
213,4.980
214,5.044
215,5.046
216,5.088
217,5.104
218,5.106
219,5.292
220,5.296
221,5.415
222,5.468
223,5.470
224,5.473
225,5.499
226,5.501
227,5.503
228,5.505
229,5.507
230,5.511
231,5.524
232,5.526
233,5.574
234,5.576
235,5.612
