boot,corpus,point,sha,kind,idx,seconds,n
1787475254,ffi,p13,8b61c59b4c743657e1bd91c0e125957b319cd883,edit,3,9.26,3
1787475254,ffi,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,open,0,9.63,3
1787475254,ffi,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,edit,1,10.65,3
1787475254,ffi,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,edit,2,9.98,3
1787475254,ffi,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,edit,3,9.64,3
1787475254,ffi,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,open,0,7.48,3
1787475254,ffi,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,edit,1,8.45,3
1787475254,ffi,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,edit,2,8.46,3
1787475254,ffi,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,edit,3,7.42,3
1787475254,ffi,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,open,0,5.43,3
1787475254,ffi,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,edit,1,5.71,3
1787475254,ffi,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,edit,2,6.26,3
1787475254,ffi,p16,7c9ae2029e18909a97773cd7693f2e4b48a8d0eb,edit,3,5.68,3
1787475254,ffi,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,open,0,4.96,3
1787475254,ffi,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,edit,1,4.81,3
1787475254,ffi,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,edit,2,5.52,3
1787475254,ffi,p17,067bdbc08d585077e2a1f0907ee0a1e84a90e795,edit,3,4.83,3
1787475254,ffi,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,open,0,9.15,10
1787475254,ffi,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,edit,1,10.48,10
1787475254,ffi,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,edit,2,9.88,10
1787475254,ffi,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,edit,3,9.30,10
1787475254,ffi,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,edit,4,9.51,10
1787475254,ffi,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,edit,5,9.81,10
1787475254,ffi,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,edit,6,8.84,10
1787475254,ffi,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,edit,7,8.72,10
1787475254,ffi,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,edit,8,9.17,10
1787475254,ffi,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,edit,9,8.96,10
1787475254,ffi,p14,48fcd12614e2f22820dc3eabc8bfe4f3407763af,edit,10,9.06,10
1787475254,ffi,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,open,0,7.62,10
1787475254,ffi,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,edit,1,8.79,10
1787475254,ffi,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,edit,2,7.83,10
1787475254,ffi,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,edit,3,7.05,10
1787475254,ffi,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,edit,4,7.45,10
1787475254,ffi,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,edit,5,7.42,10
1787475254,ffi,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,edit,6,7.50,10
1787475254,ffi,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,edit,7,6.87,10
1787475254,ffi,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,edit,8,6.90,10
1787475254,ffi,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,edit,9,6.93,10
1787475254,ffi,p15,4c9bca9e34d78ef186f4d184b32da3fcba19fae0,edit,10,6.89,10
